,Name,Company,LinkedIn,Batch
272,Vamsi Chitters,Elph,https://www.linkedin.com/in/vamsi-chitters-8b62a934,W19
273,Tanooj Luthra,Elph,https://linkedin.com/in/tanoojluthra,W19
274,Sarat Ravi,Elph,https://www.linkedin.com/in/sarat-ravi/,W19
275,Tyler Dao,Docbot,https://www.linkedin.com/in/tylerdao,W19
276,William Karnes,Docbot,https://www.linkedin.com/in/william-karnes-71643a2b,W19
277,Andrew Ninh,Docbot,https://www.linkedin.com/in/aninh,W19
278,Emil Sjölander,Visly,https://www.linkedin.com/in/emilsjolander,W19
279,Karl Petersson,Visly,https://www.linkedin.com/in/karl-petersson-a7449666/,W19
280,Pasha Rayan,Forage,https://www.linkedin.com/in/pasharayan,W19
281,Thomas Brunskill,Forage,https://www.linkedin.com/in/thomas-brunskill-68889a7a/,W19
282,Nicholas Diao,Coursedog,https://www.linkedin.com/in/nicholas-diao-400054122/,W19
283,Justin Wenig,Coursedog,https://www.linkedin.com/in/justinwenig/,W19
284,Charlie Warren,Convex,https://www.linkedin.com/in/chwarren/,W19
285,Blake Meulmester,Convex,https://www.linkedin.com/in/blakemeulmester/,W19
286,Pranay Prakash,Windsor,https://linkedin.com/in/pranaygp,W19
287,Andrew Faust,Windsor,https://www.linkedin.com/in/andrew-faust-350498209,W19
288,Mustafa Bayramoglu,Preflight,https://linkedin.com/in/mustafa-bayramoglu-717a9197,W19
289,Kanishka Maheshwari,InterPrime,https://www.linkedin.com/in/kanishkamaheshwari/,W19
290,Abhinav Sharma,Insight,https://linkedin.com/in/sharmaabhinav,W19
291,Rachel Olney,Geosite,https://www.linkedin.com/in/rachelolney/,W19
292,Collin Wallace,ZeroStorefront,https://www.linkedin.com/in/collin-wallace/,W19
293,Ashutosh Joshi,ZeroStorefront,https://www.linkedin.com/in/akjoshi/,W19
294,Sabera Hussain,Fuzzbuzz,https://www.linkedin.com/in/sabera-hussain,W19
295,Everest Munro-Zeisberger,Fuzzbuzz,https://www.linkedin.com/in/everestmz/,W19
296,Andrei Serban,Fuzzbuzz,https://www.linkedin.com/in/andrei-serban/,W19
297,Adina Mangubat,Spiral Genetics,https://www.linkedin.com/in/amangubat/,W19
298,Yihsuan Chen,Union Apartment,https://linkedin.com/in/ellsonchen,W19
299,Chengyun Quan,Union Apartment,,W19
300,Jialin he,Union Apartment,,W19
301,Peer Richelsen,Mage,https://linkedin.com/in/peer-richelsen-221233138/,W19
302,Malte Delfs,Mage,,W19
303,Jeremy Berman,Basement,https://www.linkedin.com/in/jeremyberman1/,W19
304,Fernando Rojo,Basement,http://linkedin.com/in/fernandotherojo,W19
305,Yael Cohen Haramaty,Tailor-ED,http://linkedin.com/in/yael-cohen-haramaty-4a379a24,W19
306,Maayan Yavne,Tailor-ED,https://www.linkedin.com/in/maayan-yavne-3149908/,W19
307,Kembey Gbarayor,Sublime Black,https://www.linkedin.com/in/kembeyg,W19
308,"Charles Whitby, CISSP, PCIP, CRISC, CISM",Sublime Black,https://www.linkedin.com/in/charles-whitby-cism-crisc-cissp-91819b55/,W19
309,Vaughn Koch,Datamode,http://linkedin.com/in/vaughnkoch,W19
310,Andrew Kim,Datamode,https://www.linkedin.com/in/andrewakim,W19
311,Gatumi Aliyu,54Gene,https://www.linkedin.com/in/gatumialiyu/,W19
312,Abasi Ene-Obong,54Gene,https://linkedin.com/in/abasieneobong,W19
313,Ogochukwu Francis Osifo,54Gene,https://www.linkedin.com/in/francisosifo,W19
314,Calvin LeGassick,Capture,https://www.linkedin.com/in/calvinlegassick,W19
315,Jesse Chand,Capture,https://www.linkedin.com/in/jessechand/,W19
316,Stephen Chen,Capture,https://www.linkedin.com/in/stephencme,W19
317,Adena Nadler,Capture,https://www.linkedin.com/in/adenabauer/,W19
318,Eugene Huang,Traverse Technologies,https://www.linkedin.com/in/eugenehuangsg/,W19
319,Thet Lin Thu,Traverse Technologies,https://www.linkedin.com/in/thetlinthu/,W19
320,Andrew Fleischer,Hypnos,https://www.linkedin.com/in/andrew-h-fleischer,W19
321,James Sinka,Hypnos,https://www.linkedin.com/in/jamessinka/,W19
322,Marlon Castillo,DailyDoctor,https://linkedin.com/in/marlonscastillo,W19
323,Vijay Rajasekhar,DailyDoctor,null,W19
324,Boateng Opoku-Yeboah,Fuse,https://www.linkedin.com/in/byeboah/,W19
325,Landon Vago-Hughes,Fuse,,W19
326,Tunde Alao,Fuse,https://www.linkedin.com/in/tundealao/,W19
327,Qian Qiao,CareerTu,https://www.linkedin.com/in/qian-qiao-7a0b4a89/,W19
328,Yvonne Tian,CareerTu,https://www.linkedin.com/in/wenjuntian1/,W19
329,Ruiwan Xu,CareerTu,https://www.linkedin.com/in/ruiwanxu/,W19
330,Gillian OBrien,Cherry,https://www.linkedin.com/in/gillian-o-brien-13753610b/,W19
331,Emily OBrien,Cherry,https://www.linkedin.com/in/emilyblaineobrien/,W19
332,Raina Olsen,AuroraQ,https://www.linkedin.com/in/raina-olsen-74b13643/,W19
333,Mohammadreza Rezaee,AuroraQ,https://www.linkedin.com/in/mohammadreza-rezaee-01b469106/,W19
334,Justin Duan,BlitzIQ,https://www.linkedin.com/in/justinduan/,W19
335,Wenfeng Xia,Maitian.ai,,W19
336,Ye Xia,Maitian.ai,https://www.linkedin.com/in/ye-xia-340803135/,W19
337,Amol Jain,PerShop,https://www.linkedin.com/in/jainamol/,W19
338,Tony Dong,PerShop,https://www.linkedin.com/in/tonydong3/,W19
339,Sachith Gullapalli,Docucharm,https://www.linkedin.com/in/sachith-gullapalli-68719aa0/,W19
340,Minh Pham,Docucharm,https://www.linkedin.com/in/minhtripham,W19
341,Michael Shalyt,Evo.Do,https://www.linkedin.com/in/michael-shalyt-26858853/,W19
342,Nataly Bendersky Shalem,Evo.Do,https://www.linkedin.com/in/natalycreates/,W19
343,Christopher Bulow,ResistanceBio,https://www.linkedin.com/in/christopherbulow/,W19
344,Nicholas Goldner,ResistanceBio,https://www.linkedin.com/in/nicholas-goldner,W19
345,Richard Wu,Simmer,https://www.linkedin.com/in/wu-richard/,W19
346,Vaibhav Verma,Simmer,https://linkedin.com/in/vaibhavverma9,W19
347,Michael Lucy,Basilica,https://www.linkedin.com/in/michael-lucy-b59534171,W19
348,Jorge Silva,Basilica,https://www.linkedin.com/in/jorgesilvajetter/,W19
349,Jeany Ngo,Adventurous Co,http://linkedin.com/in/jeanyngo,W19
350,Brian Schulman,Adventurous Co,https://www.linkedin.com/in/blschulman/,W19
351,Nilkanth Patel,Herald,https://www.linkedin.com/in/nilkanth-patel-75346134/,W19
352,Jay Patel,Herald,https://www.linkedin.com/in/jayisms/,W19
353,Nikhil Shinday,Avalanche,https://www.linkedin.com/in/nikhil-shinday-24255266/,W19
354,Elezhan (Ijan) Zhakiya,Avalanche,https://www.linkedin.com/in/elezhan-zhakiya-01116080/,W19
355,Josh Horne,Portal Entryways,https://www.linkedin.com/in/josh-horne-3b21928b/,W19
356,Sam Lew,Portal Entryways,http://www.linkedin.com/sjylew,W19
357,Albert Ho,Chaser,https://www.linkedin.com/in/hoalbert,W19
358,Tongbo Huang,Chaser, https://www.linkedin.com/in/tongbohuang,W19
359,patrick Woodson,Green Energy Exchange,http://www.linkedin.com/in/ patrick-woodson-b687a072,W19
360,Tony Mastrorio,DevFlight,https://www.linkedin.com/in/tonymastrorio/,W19
361,Victor Bordo,DevFlight,https://www.linkedin.com/in/victorbordo/,W19
362,Rishab Hegde,Comradery,https://www.linkedin.com/in/rishab-hegde/,W19
363,Sohrab Haghighat,SpaceRyde,https://www.linkedin.com/in/sohrabhaghighat/,W19
364,Will Huang,Pengram,https://www.linkedin.com/in/hwjwill/,W19
365,Zach Waterfield,Kopa,https://linkedin.com/in/zlwaterfield,W19
366,Abhishek Bhargava,Vectordash,https://www.linkedin.com/in/abhishek-bhargava-398ba6126/,W19
367,Greg Hazel,Volk Wireless,https://www.linkedin.com/in/greg-hazel-8755513/,W19
368,Colin McDonnell,Brick Health,https://www.linkedin.com/in/colinmcd/,W19
369,Catherine Hrdy,Allo,https://www.linkedin.com/in/catherinechuterhrdy/,W19
