Unnamed: 0,Name,Company,LinkedIn,Batch,exit_value_usd,total_funding_usd
0,Paul Huelskamp,Moxion Power Co.,https://www.linkedin.com/in/paulhuelskamp,W21,0.0,210000000.0
1,Alexander Meek,Moxion Power Co.,https://www.linkedin.com/in/alexandermeek/,W21,0.0,210000000.0
2,Aadit Palicha,Zepto,https://www.linkedin.com/in/aadit-palicha/,W21,0.0,1350000000.0
3,Kaivalya Vohra,Zepto,https://www.linkedin.com/in/kaivalya-vohra/,W21,0.0,1350000000.0
4,Artur Ribas,Kiwify,https://www.linkedin.com/in/artur-ribas-01b104157/,W21,0.0,130000.0
5,Marinho Gomes,Kiwify,https://www.linkedin.com/in/marinho-gomes/,W21,0.0,130000.0
6,Dzung Dang,Nano Technologies,https://www.linkedin.com/in/%F0%9F%94%AD-dzung-dang-1565425/,W21,0.0,9400000.0
7,Thang Nguyen,Nano Technologies,https://www.linkedin.com/in/thang-nguyen-92620557/,W21,0.0,9400000.0
8,Ben Eluan,Flux,https://www.linkedin.com/in/ben-eluan,W21,0.0,125000.0
9,Israel Akintunde,Flux,https://www.linkedin.com/in/israel-akintunde-a0b801134/,W21,0.0,125000.0
10,Osezele Orukpe,Flux,https://www.linkedin.com/in/osezele-orukpe-1a37a9167/,W21,0.0,125000.0
11,Manuel Rodriguez Dao,Meru.com,https://linkedin.com/in/manuel-rodriguez-dao-aa78ab97,W21,0.0,0.0
12,Virgile Fiszman,Meru.com,https://www.linkedin.com/in/virgile-fiszman-213ab39a/,W21,0.0,0.0
13,Federico Moscato,Meru.com,https://www.linkedin.com/in/federico-moscato-5112ab125/,W21,0.0,0.0
14,Eduardo Mata,Meru.com,https://www.linkedin.com/in/eduardo-mata-mitzunaga-680589147/,W21,0.0,0.0
15,Joseph Ifiegbu,eqtble,https://www.linkedin.com/in/joseph-ifiegbu/,W21,0.0,2700000.0
16,Gabe Horwitz,eqtble,https://www.linkedin.com/in/gabrielmhorwitz/,W21,0.0,2700000.0
17,Ethan Veres,eqtble,https://www.linkedin.com/in/ethanveres,W21,0.0,2700000.0
18,Soy Hwang,R.care,https://www.linkedin.com/in/soyeon-h-b4159b5b,W21,0.0,0.0
19,Sunny Kim,R.care,https://www.linkedin.com/in/sunny-kim-00855ba1/,W21,0.0,0.0
20,Yon Soo Park,R.care,https://www.linkedin.com/in/yon-soo-park-3647b71b8,W21,0.0,0.0
21,Phil Daneshyar,Kanda,https://www.linkedin.com/in/phildaneshyar/,W21,0.0,0.0
22,Richard Fleeman,Kanda,https://www.linkedin.com/in/richard-fleeman-9539b4166/,W21,0.0,0.0
23,Rob Gallagher,Kanda,https://www.linkedin.com/in/rob-gallagher/,W21,0.0,0.0
24,Jeffrey Morgan,Ollama,https://www.linkedin.com/in/jmorganca/,W21,0.0,625000.0
25,Michael Chiang,Ollama,https://www.linkedin.com/in/mchiang0610/,W21,0.0,625000.0
26,Ali Abramovitz,Chorus Sleep,https://www.linkedin.com/in/ali-abramovitz-cook-69458459/,W21,0.0,0.0
27,MK Hurlbutt,Chorus Sleep,https://www.linkedin.com/in/mkhurlbutt/,W21,0.0,0.0
28,Warren Runk,Chorus Sleep,https://www.linkedin.com/in/warrenrunk,W21,0.0,0.0
29,Don Pansacola,NextPay,https://www.linkedin.com/in/donpansacola/,W21,0.0,1725000.0
30,Aldrich Tan,NextPay,https://www.linkedin.com/in/aldricht/,W21,0.0,1725000.0
31,Moustafa Mahmoud,Camlist,https://www.linkedin.com/in/mmahm/,W21,0.0,1300000.0
32,Maha Refai,Camlist,https://www.linkedin.com/in/maharefai/,W21,0.0,1300000.0
