Unnamed: 0,Name,Company,LinkedIn,Batch,exit_value_usd,total_funding_usd
664,Greg Piccolo,Palla,https://www.linkedin.com/in/gregorypiccolo/,S21,0.0,0.0
665,Mark Lee,MarqVision,https://www.linkedin.com/in/insup/,S21,0.0,36000000.0
666,Victor Cardenas,Slash,https://www.linkedin.com/in/victor-d-cardenas/,S21,0.0,19000000.0
667,Kevin Bai,Slash,https://www.linkedin.com/in/kevinbai0,S21,0.0,19000000.0
668,Jagath Vytheeswaran,Vogent,http://www.linkedin.com/in/jagathv,S21,0.0,0.0
669,Vignesh Varadarajan,Vogent,http://linkedin.com/in/vignesh-varadarajan-22469937/,S21,0.0,0.0
670,Jonathan Kau,Satsuma,http://www.linkedin.com/in/jonathankau,S21,0.0,4700000.0
671,Dan Li,Satsuma,https://www.linkedin.com/in/dan-li-463aa81b/,S21,0.0,4700000.0
672,Karin Underwood,Verano Health,https://www.linkedin.com/in/karin-underwood-b380ab32/,S21,2800000000.0,100000000.0
673,Bharat Kilaru,Verano Health,http://www.linkedin.com/in/bharatkilaru/,S21,2800000000.0,100000000.0
674,Jaakko Rauhala,Kapacity.io,https://www.linkedin.com/in/jaakko-rauhala/,S21,0.0,0.0
675,Rami El Geneidy,Kapacity.io,https://www.linkedin.com/in/ramielgeneidy/,S21,0.0,0.0
676,Sonja Salo,Kapacity.io,https://www.linkedin.com/in/sonja-salo/,S21,0.0,0.0
677,Cam Korzecke,Nasdisc,https://www.linkedin.com/in/cam-korzecke/,S21,0.0,0.0
678,Simeon Goolsby,Nasdisc,https://www.linkedin.com/in/simeon-goolsby-15859210a/,S21,0.0,0.0
679,Christian White,Nasdisc,https://www.linkedin.com/in/christian-white-2630967a/,S21,0.0,0.0
680,Owen Rapaport,Aer,https://www.linkedin.com/in/owenrapaport,S21,0.0,2800000.0
681,Aditya Kajla,Warrant,https://www.linkedin.com/in/akajla,S21,0.0,0.0
682,Karan Kajla,Warrant,https://linkedin.com/in/kkajla/,S21,0.0,0.0
683,Jacobo Vidal Abeigón,Arengu,https://www.linkedin.com/in/jacobovidal/,S21,0.0,500000.0
684,Pablo Castro Valiño,Arengu,https://www.linkedin.com/in/pablocastrovalino/,S21,0.0,500000.0
685,Sergio Regueira,Arengu,https://www.linkedin.com/in/sergioregueira/,S21,0.0,500000.0
686,Roman Rothaermel,Mable,https://www.linkedin.com/in/rrothaermel/,S21,0.0,2000000.0
687,Inna Thalmann,Mable,https://www.linkedin.com/in/ithalmann/,S21,0.0,2000000.0
688,Anta Pattabiraman,inai,https://www.linkedin.com/in/anantharaman-pattabiraman-87532a4/,S21,0.0,4000000.0
689,Karthik Narayanan,inai,https://www.linkedin.com/in/karthik-narayanan-1b92241/,S21,0.0,4000000.0
690,Angela Ferrante,Laudable,https://www.linkedin.com/in/angela-ferrante/,S21,0.0,2950000.0
691,Ruben Guerrero,Sproutfi,https://linkedin.com/in/ruben-g-08019a2,S21,0.0,6400000.0
692,Tyler Richie,Sproutfi,https://www.linkedin.com/in/tyler-richie-1096b58/,S21,0.0,6400000.0
693,Zain Azeem,Keyri,https://www.linkedin.com/in/zain-azeem/,S21,0.0,0.0
694,Grant La Count,Keyri,https://www.linkedin.com/in/grant-la-count-8abb6b40/,S21,0.0,0.0
695,Saif Malik,Keyri,https://www.linkedin.com/in/saif-malik-929b961a,S21,0.0,0.0
696,Mikee Villareal,MadEats,https://www.linkedin.com/in/mikeevillareal,S21,0.0,1700000.0
697,Andie Cruz,MadEats,https://www.linkedin.com/in/andrea-cruz-a46155148,S21,0.0,1700000.0
698,Keisha Lao,MadEats,http://linkedin.com/in/keisha-lao-8713681b0,S21,0.0,1700000.0
699,Justin Rotman,Goodkind,https://www.linkedin.com/in/jrotman/,S21,0.0,0.0
700,Michael Warshafsky,Goodkind,https://www.linkedin.com/in/michael-warshafsky-b8946033/,S21,0.0,0.0
701,Vladimir Korshin,Level,https://www.linkedin.com/in/vladimirkorshin/,S21,0.0,0.0
702,Molly Hogan,Level,https://www.linkedin.com/in/mollyhogan/,S21,0.0,0.0
703,Asa Schachar,Level,https://linkedin.com/in/asaschachar,S21,0.0,0.0
704,Eric Migicovsky,Beeper,https://linkedin.com/in/ericmigi,S21,125000000.0,16000000.0
705,Brad Murray,Beeper,https://www.linkedin.com/in/bradtgmurray,S21,125000000.0,16000000.0
706,Ben Botvinick,Hyper,https://www.linkedin.com/in/botv,S21,0.0,0.0
707,Christopher Wu,Cache,https://www.linkedin.com/in/christopher-wu-b00a5719/,S21,0.0,8500000.0
708,Jimmy Young,Cache,https://www.linkedin.com/in/jimmyyoungsydney/,S21,0.0,8500000.0
709,Robert Gaal,Quest,https://www.linkedin.com/in/robertgaal,S21,0.0,0.0
710,Emiel van Liere,Quest,https://www.linkedin.com/in/emielvanliere/,S21,0.0,0.0
711,Albert Chuang,OneShop,https://www.linkedin.com/in/yonajune/,S21,0.0,0.0
712,Aaron Evans,OneShop,https://www.linkedin.com/in/aaronptb/,S21,0.0,0.0
713,Maddy Nguyen,Talentdrop,https://www.linkedin.com/in/madeleinen/,S21,0.0,130000.0
714,Janelle Tiulentino,Talentdrop,https://www.linkedin.com/in/janelletiulentino/,S21,0.0,130000.0
715,Pablo Rojas,Protego,https://www.linkedin.com/in/pablo-rojas-contreras-0a3525140/,S21,0.0,0.0
