,Name,Company,LinkedIn,Batch
95,Nunzio Martinello,Akiflow,https://www.linkedin.com/in/nunziomartinello/,S20
96,Sebastiano Favaro,Akiflow,https://www.linkedin.com/in/sebastianofavaro/,S20
97,Arthur Wu,Dataland,https://www.linkedin.com/in/arthurwu1/,S20
98,Howard Zuo,Dataland,https://www.linkedin.com/in/howard-zuo-23437258,S20
99,Iván Barría,PANADATA,https://www.linkedin.com/in/ivan-barria-grimaldo-90a83339/,S20
100,Freddie Evans,Minimum,https://www.linkedin.com/in/freddie-evans-ab110b63/,S20
101,Chris Winchurch,Minimum,https://www.linkedin.com/in/chris-winchurch/,S20
102,Freddie Green,Minimum,https://www.linkedin.com/in/freddie-green-4a235a80/,S20
103,Askhat Omarov,Farel,https://www.linkedin.com/in/askhat-omarov-76226448/,S20
104,Ben Klenk,Hotplate,https://www.linkedin.com/in/benklenk/,S20
105,Rishi Talati,Hotplate,https://www.linkedin.com/in/rishitalati/,S20
106,Kennan Davison,Skio,https://linkedin.com/in/kennandavison,S20
107,Per Harald Borgen,Scrimba,https://www.linkedin.com/in/per-harald-borgen/,S20
108,Sindre Aarsaether,Scrimba,https://www.linkedin.com/in/sindreaa/,S20
109,Frode Jensen,Scrimba,https://www.linkedin.com/in/jensenfrode/,S20
110,Aaron Paul,TyltGO,https://linkedin.com/in/a29paul,S20
111,Kenton Jarvie,Flint,https://www.linkedin.com/in/kentonjarvie/,S20
112,Anson Kung,Flint,https://www.linkedin.com/in/ansonkung,S20
113,Demetri Maxim,Nephrogen,https://www.linkedin.com/in/demetri-maxim,S20
114,Lily Tang,Liyfe,https://www.linkedin.com/in/lily-xiaoli-tang-15b9006/,S20
115,Kendall Dabaghi,Kingdom Supercultures,https://www.linkedin.com/in/kendalldabaghi/,S20
116,Ravi Sheth,Kingdom Supercultures,https://www.linkedin.com/in/ravisheth/,S20
117,Grant Shaddick,Tella,https://www.linkedin.com/in/shaddickgrant/,S20
118,Michiel Westerbeek,Tella,https://www.linkedin.com/in/michiel-westerbeek-4b6b7a48/,S20
119,Yael Israeli,Mozper,https://www.linkedin.com/in/yaelisraeli1/,S20
120,Gabriel Roizner,Mozper,https://www.linkedin.com/in/gabrielroizner/,S20
121,Duncan Hamra,Memberstack,https://www.linkedin.com/in/duncanhamra,S20
122,Tyler Bell,Memberstack,https://www.linkedin.com/in/tyler-bell-129711158/,S20
123,Gonzague Hacher,Mailwarm,https://www.linkedin.com/in/gonzaguehacher,S20
124,Amine Benjelloun,Mailwarm,https://www.linkedin.com/in/benjellouna/,S20
125,Pelle Braendgaard,Notabene,https://www.linkedin.com/in/pelleb/,S20
126,Andres Junge,Notabene,https://www.linkedin.com/in/ajunge,S20
127,Ania Lipinska,Notabene,https://www.linkedin.com/in/ania-lipinska/,S20
128,Alice Nawfal,Notabene,https://www.linkedin.com/in/alicenawfal/,S20
129,Rohit Taneja,Decentro,https://www.linkedin.com/in/rohit-taneja-69b30b13/,S20
130,Sonakshi Nathani,BIK,https://www.linkedin.com/in/sonakshi-nathani-473abb41/,S20
131,ASHUTOSH SINGLA,BIK,https://www.linkedin.com/in/ashu1461/,S20
132,Scott Sonneborn,Tydo,https://www.linkedin.com/in/scottsonneborn/,S20
133,Manav Kohli,Tydo,https://www.linkedin.com/in/manavkohli/,S20
134,Harsh Vaidya,WareIQ,https://www.linkedin.com/in/harshmv/,S20
135,Aayush Mattoo,WareIQ,https://www.linkedin.com/in/aayushmattoo/,S20
136,Aaron Ng,Hyper Online,https://www.linkedin.com/in/aaronykng,S20
137,Surge Biswas,Nabla Bio,https://www.linkedin.com/in/surge-biswas-a8b61270/,S20
138,Frances Anastassacos,Nabla Bio,https://www.linkedin.com/in/frances-anastassacos,S20
139,Bar Geron,Balance,https://www.linkedin.com/in/bar-geron-76b87270,S20
140,Yoni Shuster,Balance,https://www.linkedin.com/in/yoni-shuster/,S20
141,Joseph Kitonga,Vitable Health,https://www.linkedin.com/in/josephkitonga/,S20
142,Akshit Bansal,Statiq.,https://www.linkedin.com/in/akshit-bansal7/,S20
143,Raghav Arora,Statiq.,https://www.linkedin.com/in/raghav-arora-ab5087192/,S20
144,Lana Graf,Nextera Robotics,https://www.linkedin.com/in/lanagraf/,S20
145,Alex Rand,Nextera Robotics,https://www.linkedin.com/in/alex-69292095/,S20
146,Nicolás López Jullian,Justo,https://www.linkedin.com/in/nicolaslopezj/,S20
147,Rodrigo Segal,Justo,https://www.linkedin.com/in/rodrigosegal/,S20
148,Alexander Popper,Hellometer,https://www.linkedin.com/in/alexanderpopper/,S20
149,Michael Skelly,Stacker,https://www.linkedin.com/in/skellymichael/,S20
150,Sam Davyson,Stacker,https://www.linkedin.com/in/davyson/,S20
151,Chad Swenson,Tappity,https://www.linkedin.com/in/chadwick-swenson-3b20636b/,S20
152,Lawrence Tran,Tappity,https://www.linkedin.com/in/lawrencetran/,S20
153,Adam Moelis,Yotta,https://www.linkedin.com/in/adammoelis,S20
154,Ben Doyle,Yotta,https://linkedin.com/in/doyleb,S20
155,Saurabh Nangia,Mesh,https://www.linkedin.com/in/saurabhnangia/,S20
156,Gaurav Chaubey,Mesh,https://www.linkedin.com/in/gaurav-chaubey/,S20
157,Rahul Singh,Mesh,https://www.linkedin.com/in/rahul-singh-16870225/,S20
158,Alex Alvarado,Daybreak Health,https://www.linkedin.com/in/alexdalvarado/,S20
159,Sid Cidambi,Daybreak Health,https://www.linkedin.com/in/siddarth-cidambi-b001a92b/,S20
160,Artur Adib,Biocogniv,https://www.linkedin.com/in/arturadib/,S20
161,Lucia Huang,Osmind,https://www.linkedin.com/in/luciayhuang/,S20
162,Jimmy Qian,Osmind,https://www.linkedin.com/in/jimmyjqian/,S20
163,Mesongo Sibuti,MarketForce,https://linkedin.com/in/mesongo,S20
164,Tesh Mbaabu,MarketForce,https://linkedin.com/in/teshmbaabu,S20
165,David Dindi,Atomic,https://www.linkedin.com/in/david-dindi-2a532a48,S20
166,Faisal Khalid,Bits,http://uk.linkedin.com/in/faisalkhalid,S20
167,Will Moss,Seal,https://www.linkedin.com/in/moss-will/,S20
168,Colin Chartier,webapp.io,https://www.linkedin.com/in/colinchartier/,S20
169,Lyn Chen,webapp.io,https://www.linkedin.com/in/lynchen/,S20
170,Arjun Mahadevan,doola,https://www.linkedin.com/in/mahadevanarjun/,S20
171,Francisco Torrealba,Blissway,https://www.linkedin.com/in/ftorrealba/,S20
172,Felipe Kettlun,Blissway,https://www.linkedin.com/in/felipekettlun/,S20
173,Gaurav Mishra,Cradle,https://www.linkedin.com/in/gaurav-mishra-5110b5b4/,S20
174,Michael Ioffe,Arist,https://www.linkedin.com/in/michaelaioffe/,S20
175,Ryan Laverty,Arist,https://www.linkedin.com/in/ryan-laverty/,S20
176,Martin Diz,TANGObuilder,https://www.linkedin.com/in/martindiz,S20
177,Juan Aleman,TANGObuilder,https://www.linkedin.com/in/juan-aleman-phd-pe-2624127/,S20
178,Raza Habib,Humanloop,https://www.linkedin.com/in/raza-habib-7b21ba4b/,S20
179,Jordan Burgess,Humanloop,https://www.linkedin.com/in/jordanburgess/,S20
180,Peter Hayes,Humanloop,https://www.linkedin.com/in/peter-hayes-2366591a4/,S20
